Date,Team,Player Value,Pick Value,Total Value
2021-09-15,Don’t Tread on Me,81219,28768,109987
2021-09-15,Stroud Boyz,56751,33957,90708
2021-09-15,The Shake’N’Bakerz,82016,28768,110784
2021-09-15,Low Taper Feyd,82407,28768,111175
2021-09-15,Washed up Wilsons,74883,28768,103651
2021-09-15,The Cleveland Josh Allens,74810,28768,103578
2021-09-15,Bye Week,67898,28768,96666
2021-09-15,Turrible. Just turrible.,67599,28768,96367
2021-09-16,Stanford Marshmallows,82875,23603,106478
2021-09-16,All-Pro KTC,82880,28720,111600
2021-09-16,Don’t Tread on Me,80823,28720,109543
2021-09-16,Stroud Boyz,55611,33837,89448
2021-09-16,The Shake’N’Bakerz,82281,28720,111001
2021-09-16,Low Taper Feyd,82313,28720,111033
2021-09-16,Washed up Wilsons,74680,28720,103400
2021-09-16,The Cleveland Josh Allens,74007,28720,102727
2021-09-16,Bye Week,68819,28720,97539
2021-09-16,Turrible. Just turrible.,67956,28720,96676
2021-09-17,Stanford Marshmallows,82334,23499,105833
2021-09-17,All-Pro KTC,82716,28590,111306
2021-09-17,Don’t Tread on Me,80812,28590,109402
2021-09-17,Stroud Boyz,55089,33681,88770
2021-09-17,The Shake’N’Bakerz,81427,28590,110017
2021-09-17,Low Taper Feyd,82808,28590,111398
2021-09-17,Washed up Wilsons,75304,28590,103894
2021-09-17,The Cleveland Josh Allens,74168,28590,102758
2021-09-17,Bye Week,69948,28590,98538
2021-09-17,Turrible. Just turrible.,67589,28590,96179
2021-09-18,Stanford Marshmallows,81823,23580,105403
2021-09-18,All-Pro KTC,82486,28654,111140
2021-09-18,Don’t Tread on Me,79907,28654,108561
2021-09-18,Stroud Boyz,55445,33728,89173
2021-09-18,The Shake’N’Bakerz,81560,28654,110214
2021-09-18,Low Taper Feyd,81766,28654,110420
2021-09-18,Washed up Wilsons,75604,28654,104258
2021-09-18,The Cleveland Josh Allens,74428,28654,103082
2021-09-18,Bye Week,70503,28654,99157
2021-09-18,Turrible. Just turrible.,68833,28654,97487
2021-09-19,Stanford Marshmallows,81814,23624,105438
2021-09-19,All-Pro KTC,83080,28802,111882
2021-09-19,Don’t Tread on Me,79885,28802,108687
2021-09-19,Stroud Boyz,56087,33980,90067
2021-09-19,The Shake’N’Bakerz,81387,28802,110189
2021-09-19,Low Taper Feyd,80672,28802,109474
2021-09-19,Washed up Wilsons,75839,28802,104641
2021-09-19,The Cleveland Josh Allens,74318,28802,103120
2021-09-19,Bye Week,70260,28802,99062
2021-09-19,Turrible. Just turrible.,68653,28802,97455
2021-09-20,Stanford Marshmallows,82184,23741,105925
2021-09-20,All-Pro KTC,82893,28920,111813
2021-09-20,Don’t Tread on Me,79978,28920,108898
2021-09-20,Stroud Boyz,58137,31995,90132
2021-09-20,The Shake’N’Bakerz,81860,28920,110780
2021-09-20,Low Taper Feyd,80302,28920,109222
2021-09-20,Washed up Wilsons,75165,28920,104085
2021-09-20,The Cleveland Josh Allens,75506,31024,106530
2021-09-20,Bye Week,70223,28920,99143
2021-09-20,Turrible. Just turrible.,67032,28920,95952
2021-09-21,Stanford Marshmallows,82761,28918,111679
2021-09-21,All-Pro KTC,83059,28918,111977
2021-09-21,Don’t Tread on Me,79722,28918,108640
2021-09-21,Stroud Boyz,57411,32024,89435
2021-09-21,The Shake’N’Bakerz,81641,28918,110559
2021-09-21,Low Taper Feyd,80616,28918,109534
2021-09-21,Washed up Wilsons,74763,28918,103681
2021-09-21,The Cleveland Josh Allens,74729,31004,105733
2021-09-21,Bye Week,70483,28918,99401
2021-09-21,Turrible. Just turrible.,68350,23726,92076
2021-09-22,Stanford Marshmallows,83305,29004,112309
2021-09-22,All-Pro KTC,81909,29004,110913
2021-09-22,Don’t Tread on Me,79506,29004,108510
2021-09-22,Stroud Boyz,56613,32090,88703
2021-09-22,The Shake’N’Bakerz,82889,29004,111893
2021-09-22,Low Taper Feyd,80849,29004,109853
2021-09-22,Washed up Wilsons,75164,29004,104168
2021-09-22,The Cleveland Josh Allens,72862,31173,104035
2021-09-22,Bye Week,71041,29004,100045
2021-09-22,Turrible. Just turrible.,68685,23749,92434
2021-09-23,Stanford Marshmallows,83525,29162,112687
2021-09-23,All-Pro KTC,81864,29162,111026
2021-09-23,Don’t Tread on Me,79302,29162,108464
2021-09-23,Stroud Boyz,59962,32231,92193
2021-09-23,The Shake’N’Bakerz,79199,29162,108361
2021-09-23,Low Taper Feyd,79895,29162,109057
2021-09-23,Washed up Wilsons,75040,29162,104202
2021-09-23,The Cleveland Josh Allens,73665,31402,105067
2021-09-23,Bye Week,71465,29162,100627
2021-09-23,Turrible. Just turrible.,68376,23853,92229
2021-09-24,Stanford Marshmallows,83362,29096,112458
2021-09-24,All-Pro KTC,81478,29096,110574
2021-09-24,Don’t Tread on Me,79199,29096,108295
2021-09-24,Stroud Boyz,59321,32139,91460
2021-09-24,The Shake’N’Bakerz,78541,29096,107637
2021-09-24,Low Taper Feyd,79709,29096,108805
2021-09-24,Washed up Wilsons,75248,29096,104344
2021-09-24,The Cleveland Josh Allens,74141,31344,105485
2021-09-24,Bye Week,70666,29096,99762
2021-09-24,Turrible. Just turrible.,68923,23805,92728
2021-09-25,Stanford Marshmallows,83350,29176,112526
2021-09-25,All-Pro KTC,81520,29176,110696
2021-09-25,Don’t Tread on Me,78757,29176,107933
2021-09-25,Stroud Boyz,59790,32236,92026
2021-09-25,The Shake’N’Bakerz,77387,29176,106563
2021-09-25,Low Taper Feyd,79788,29176,108964
2021-09-25,Washed up Wilsons,75588,29176,104764
2021-09-25,The Cleveland Josh Allens,74718,31344,106062
2021-09-25,Bye Week,69936,29176,99112
2021-09-25,Turrible. Just turrible.,69300,23948,93248
2021-09-26,Stanford Marshmallows,83023,29122,112145
2021-09-26,All-Pro KTC,81960,29122,111082
2021-09-26,Don’t Tread on Me,79302,29122,108424
2021-09-26,Stroud Boyz,60729,32155,92884
2021-09-26,The Shake’N’Bakerz,76866,29122,105988
2021-09-26,Low Taper Feyd,78821,29122,107943
2021-09-26,Washed up Wilsons,75154,29122,104276
2021-09-26,The Cleveland Josh Allens,74508,31371,105879
2021-09-26,Bye Week,70248,29122,99370
2021-09-26,Turrible. Just turrible.,69243,23840,93083
2021-09-27,Stanford Marshmallows,82741,29348,112089
2021-09-27,All-Pro KTC,81632,29348,110980
2021-09-27,Don’t Tread on Me,79268,29348,108616
2021-09-27,Stroud Boyz,60195,32417,92612
2021-09-27,The Shake’N’Bakerz,78076,29348,107424
2021-09-27,Low Taper Feyd,78678,29348,108026
2021-09-27,Washed up Wilsons,74760,29348,104108
2021-09-27,The Cleveland Josh Allens,74253,31577,105830
2021-09-27,Bye Week,68911,29348,98259
2021-09-27,Turrible. Just turrible.,69644,24050,93694
2021-09-28,Stanford Marshmallows,82222,29090,111312
2021-09-28,All-Pro KTC,81491,29090,110581
2021-09-28,Don’t Tread on Me,79366,29090,108456
2021-09-28,Stroud Boyz,60236,32112,92348
2021-09-28,The Shake’N’Bakerz,78703,29090,107793
2021-09-28,Low Taper Feyd,80449,29090,109539
2021-09-28,Washed up Wilsons,74513,29090,103603
2021-09-28,The Cleveland Josh Allens,74157,31333,105490
2021-09-28,Bye Week,68427,29090,97517
2021-09-28,Turrible. Just turrible.,68700,23825,92525
2021-09-29,Stanford Marshmallows,81882,29186,111068
2021-09-29,All-Pro KTC,81093,29186,110279
2021-09-29,Don’t Tread on Me,78450,29186,107636
2021-09-29,Stroud Boyz,60342,32229,92571
2021-09-29,The Shake’N’Bakerz,79104,29186,108290
2021-09-29,Low Taper Feyd,80984,29186,110170
2021-09-29,Washed up Wilsons,74927,29186,104113
2021-09-29,The Cleveland Josh Allens,73613,31412,105025
2021-09-29,Bye Week,67787,29186,96973
2021-09-29,Turrible. Just turrible.,69013,23917,92930
2021-09-30,Stanford Marshmallows,81335,29244,110579
2021-09-30,All-Pro KTC,80159,29244,109403
2021-09-30,Don’t Tread on Me,79155,29244,108399
2021-09-30,Stroud Boyz,59861,32300,92161
2021-09-30,The Shake’N’Bakerz,79857,29244,109101
2021-09-30,Low Taper Feyd,80466,29244,109710
2021-09-30,Washed up Wilsons,74067,29244,103311
2021-09-30,The Cleveland Josh Allens,73215,31441,104656
2021-09-30,Bye Week,68594,29244,97838
2021-09-30,Turrible. Just turrible.,69227,23991,93218
2021-10-01,Stanford Marshmallows,81267,29316,110583
2021-10-01,All-Pro KTC,79802,29316,109118
2021-10-01,Don’t Tread on Me,78816,29316,108132
2021-10-01,Stroud Boyz,59765,32371,92136
2021-10-01,The Shake’N’Bakerz,80116,29316,109432
2021-10-01,Low Taper Feyd,80828,29316,110144
2021-10-01,Washed up Wilsons,73593,29316,102909
2021-10-01,The Cleveland Josh Allens,72799,31520,104319
2021-10-01,Bye Week,68087,29316,97403
2021-10-01,Turrible. Just turrible.,69674,24057,93731
2021-10-02,Stanford Marshmallows,80940,29234,110174
2021-10-02,All-Pro KTC,80430,29234,109664
2021-10-02,Don’t Tread on Me,78579,29234,107813
2021-10-02,Stroud Boyz,60054,32314,92368
2021-10-02,The Shake’N’Bakerz,80232,29234,109466
2021-10-02,Low Taper Feyd,80814,29234,110048
2021-10-02,Washed up Wilsons,74134,29234,103368
2021-10-02,The Cleveland Josh Allens,72167,31363,103530
2021-10-02,Bye Week,67907,29234,97141
2021-10-02,Turrible. Just turrible.,69455,24025,93480
2021-10-03,Stanford Marshmallows,80427,29296,109723
2021-10-03,All-Pro KTC,80273,29296,109569
2021-10-03,Don’t Tread on Me,78355,29296,107651
2021-10-03,Stroud Boyz,60155,32431,92586
2021-10-03,The Shake’N’Bakerz,79957,29296,109253
2021-10-03,Low Taper Feyd,81062,29296,110358
2021-10-03,Washed up Wilsons,74637,29296,103933
2021-10-03,The Cleveland Josh Allens,71540,31355,102895
2021-10-03,Bye Week,67986,29296,97282
2021-10-03,Turrible. Just turrible.,69825,24102,93927
2021-10-04,Stanford Marshmallows,80575,29118,109693
2021-10-04,All-Pro KTC,79731,29118,108849
2021-10-04,Don’t Tread on Me,78811,29118,107929
2021-10-04,Stroud Boyz,59968,32249,92217
2021-10-04,The Shake’N’Bakerz,79528,29118,108646
2021-10-04,Low Taper Feyd,81016,29118,110134
2021-10-04,Washed up Wilsons,74509,29118,103627
2021-10-04,The Cleveland Josh Allens,71844,31134,102978
2021-10-04,Bye Week,68082,29118,97200
2021-10-04,Turrible. Just turrible.,70092,23971,94063
2021-10-05,Stanford Marshmallows,80987,29152,110139
2021-10-05,All-Pro KTC,80270,27263,107533
2021-10-05,Don’t Tread on Me,79897,29152,109049
2021-10-05,Stroud Boyz,59576,32252,91828
2021-10-05,The Shake’N’Bakerz,79691,29152,108843
2021-10-05,Low Taper Feyd,80813,29152,109965
2021-10-05,Washed up Wilsons,72062,31041,103103
2021-10-05,The Cleveland Josh Allens,71631,31218,102849
2021-10-05,Bye Week,68023,29152,97175
2021-10-05,Turrible. Just turrible.,69148,23986,93134
2021-10-06,Stanford Marshmallows,80036,29208,109244
2021-10-06,All-Pro KTC,79862,27322,107184
2021-10-06,Don’t Tread on Me,83531,29208,112739
2021-10-06,Stroud Boyz,59808,32300,92108
2021-10-06,The Shake’N’Bakerz,77445,29208,106653
2021-10-06,Low Taper Feyd,79829,29208,109037
2021-10-06,Washed up Wilsons,71855,31094,102949
2021-10-06,The Cleveland Josh Allens,71419,31321,102740
2021-10-06,Bye Week,68072,29208,97280
2021-10-06,Turrible. Just turrible.,69406,24003,93409
2021-10-07,Stanford Marshmallows,79871,29056,108927
2021-10-07,All-Pro KTC,79700,27188,106888
2021-10-07,Don’t Tread on Me,83022,29056,112078
2021-10-07,Stroud Boyz,59881,32132,92013
2021-10-07,The Shake’N’Bakerz,77416,29056,106472
2021-10-07,Low Taper Feyd,79626,29056,108682
2021-10-07,Washed up Wilsons,71298,30924,102222
2021-10-07,The Cleveland Josh Allens,71498,31143,102641
2021-10-07,Bye Week,67796,29056,96852
2021-10-07,Turrible. Just turrible.,69989,23893,93882
2021-10-08,Stanford Marshmallows,80818,28912,109730
2021-10-08,All-Pro KTC,78897,27053,105950
2021-10-08,Don’t Tread on Me,83243,28912,112155
2021-10-08,Stroud Boyz,58802,31953,90755
2021-10-08,The Shake’N’Bakerz,76892,28912,105804
2021-10-08,Low Taper Feyd,79507,28912,108419
2021-10-08,Washed up Wilsons,72908,30771,103679
2021-10-08,The Cleveland Josh Allens,70517,31006,101523
2021-10-08,Bye Week,67759,28912,96671
2021-10-08,Turrible. Just turrible.,69113,23777,92890
2021-10-09,Stanford Marshmallows,81105,28914,110019
2021-10-09,All-Pro KTC,78144,27067,105211
2021-10-09,Don’t Tread on Me,83911,28914,112825
2021-10-09,Stroud Boyz,59201,31962,91163
2021-10-09,The Shake’N’Bakerz,77612,28914,106526
2021-10-09,Low Taper Feyd,79306,28914,108220
2021-10-09,Washed up Wilsons,72200,30761,102961
2021-10-09,The Cleveland Josh Allens,69465,31007,100472
2021-10-09,Bye Week,68180,28914,97094
2021-10-09,Turrible. Just turrible.,69178,23773,92951
2021-10-10,Stanford Marshmallows,81300,28764,110064
2021-10-10,All-Pro KTC,78141,26901,105042
2021-10-10,Don’t Tread on Me,84172,28764,112936
2021-10-10,Stroud Boyz,59261,31792,91053
2021-10-10,The Shake’N’Bakerz,77239,28764,106003
2021-10-10,Low Taper Feyd,79882,28764,108646
2021-10-10,Washed up Wilsons,71932,30627,102559
2021-10-10,The Cleveland Josh Allens,69148,30806,99954
2021-10-10,Bye Week,68258,28764,97022
2021-10-10,Turrible. Just turrible.,69266,23694,92960
2021-10-11,Stanford Marshmallows,81895,28974,110869
2021-10-11,All-Pro KTC,78085,27054,105139
2021-10-11,Don’t Tread on Me,83744,28974,112718
2021-10-11,Stroud Boyz,59407,32038,91445
2021-10-11,The Shake’N’Bakerz,76596,17403,93999
2021-10-11,Low Taper Feyd,79800,28974,108774
2021-10-11,Washed up Wilsons,71804,30894,102698
2021-10-11,The Cleveland Josh Allens,70727,42563,113290
2021-10-11,Bye Week,67971,28974,96945
2021-10-11,Turrible. Just turrible.,68876,23892,92768
2021-10-12,Stanford Marshmallows,80591,28818,109409
2021-10-12,All-Pro KTC,78676,26933,105609
2021-10-12,Don’t Tread on Me,83886,28818,112704
2021-10-12,Stroud Boyz,59410,31863,91273
2021-10-12,The Shake’N’Bakerz,74130,17276,91406
2021-10-12,Low Taper Feyd,79560,28818,108378
2021-10-12,Washed up Wilsons,71777,30703,102480
2021-10-12,The Cleveland Josh Allens,70799,42373,113172
2021-10-12,Bye Week,67594,28818,96412
2021-10-12,Turrible. Just turrible.,70528,23760,94288
2021-10-13,Stanford Marshmallows,80582,28938,109520
2021-10-13,All-Pro KTC,78672,27057,105729
2021-10-13,Don’t Tread on Me,83416,28938,112354
2021-10-13,Stroud Boyz,59357,32049,91406
2021-10-13,The Shake’N’Bakerz,75449,17466,92915
2021-10-13,Low Taper Feyd,80263,28938,109201
2021-10-13,Washed up Wilsons,71182,30819,102001
2021-10-13,The Cleveland Josh Allens,69663,42355,112018
2021-10-13,Bye Week,67715,28938,96653
2021-10-13,Turrible. Just turrible.,71526,23882,95408
2021-10-14,Stanford Marshmallows,80926,28914,109840
2021-10-14,All-Pro KTC,79275,27060,106335
2021-10-14,Don’t Tread on Me,82771,28914,111685
2021-10-14,Stroud Boyz,59678,32025,91703
2021-10-14,The Shake’N’Bakerz,75627,17412,93039
2021-10-14,Low Taper Feyd,79836,28914,108750
2021-10-14,Washed up Wilsons,70707,30768,101475
2021-10-14,The Cleveland Josh Allens,69980,42376,112356
2021-10-14,Bye Week,67594,28914,96508
2021-10-14,Turrible. Just turrible.,71051,23843,94894
2021-10-15,Stanford Marshmallows,82517,29158,111675
2021-10-15,All-Pro KTC,79261,27248,106509
2021-10-15,Don’t Tread on Me,82890,29158,112048
2021-10-15,Stroud Boyz,59359,32304,91663
2021-10-15,The Shake’N’Bakerz,75011,17629,92640
2021-10-15,Low Taper Feyd,79476,29158,108634
2021-10-15,Washed up Wilsons,70382,31068,101450
2021-10-15,The Cleveland Josh Allens,69986,42643,112629
2021-10-15,Bye Week,67306,29158,96464
2021-10-15,Turrible. Just turrible.,70436,24056,94492
2021-10-16,Stanford Marshmallows,82736,29194,111930
2021-10-16,All-Pro KTC,79233,27308,106541
2021-10-16,Don’t Tread on Me,83458,29194,112652
2021-10-16,Stroud Boyz,59171,32376,91547
2021-10-16,The Shake’N’Bakerz,75106,17689,92795
2021-10-16,Low Taper Feyd,79915,29194,109109
2021-10-16,Washed up Wilsons,70843,31080,101923
2021-10-16,The Cleveland Josh Allens,69641,42625,112266
2021-10-16,Bye Week,66257,29194,95451
2021-10-16,Turrible. Just turrible.,71614,24086,95700
2021-10-17,Stanford Marshmallows,83468,29206,112674
2021-10-17,All-Pro KTC,79360,27363,106723
2021-10-17,Don’t Tread on Me,82387,29206,111593
2021-10-17,Stroud Boyz,58881,32400,91281
2021-10-17,The Shake’N’Bakerz,74841,17639,92480
2021-10-17,Low Taper Feyd,80216,29206,109422
2021-10-17,Washed up Wilsons,71173,31049,102222
2021-10-17,The Cleveland Josh Allens,69514,42724,112238
2021-10-17,Bye Week,66179,29206,95385
2021-10-17,Turrible. Just turrible.,72580,24061,96641
2021-10-18,Stanford Marshmallows,82595,29318,111913
2021-10-18,All-Pro KTC,80340,27421,107761
2021-10-18,Don’t Tread on Me,82312,29318,111630
2021-10-18,Stroud Boyz,59123,32524,91647
2021-10-18,The Shake’N’Bakerz,75061,17783,92844
2021-10-18,Low Taper Feyd,80483,29318,109801
2021-10-18,Washed up Wilsons,70585,31215,101800
2021-10-18,The Cleveland Josh Allens,68805,42782,111587
2021-10-18,Bye Week,66152,29318,95470
2021-10-18,Turrible. Just turrible.,72272,24183,96455
2021-10-19,Stanford Marshmallows,83758,24093,107851
2021-10-19,All-Pro KTC,80981,27281,108262
2021-10-19,Don’t Tread on Me,82804,29254,112058
2021-10-19,Stroud Boyz,58859,32442,91301
2021-10-19,The Shake’N’Bakerz,74371,17881,92252
2021-10-19,Low Taper Feyd,80550,27281,107831
2021-10-19,Washed up Wilsons,67790,38361,106151
2021-10-19,The Cleveland Josh Allens,68794,42484,111278
2021-10-19,Bye Week,65169,29254,94423
2021-10-19,Turrible. Just turrible.,72081,24209,96290
2021-10-20,Stanford Marshmallows,84071,24078,108149
2021-10-20,All-Pro KTC,81055,27263,108318
2021-10-20,Don’t Tread on Me,82703,29198,111901
2021-10-20,Stroud Boyz,58549,32383,90932
2021-10-20,The Shake’N’Bakerz,74941,17796,92737
2021-10-20,Low Taper Feyd,80485,27263,107748
2021-10-20,Washed up Wilsons,67976,38188,106164
2021-10-20,The Cleveland Josh Allens,68249,42473,110722
2021-10-20,Bye Week,64968,29198,94166
2021-10-20,Turrible. Just turrible.,72396,24140,96536
2021-10-21,Stanford Marshmallows,83749,24153,107902
2021-10-21,All-Pro KTC,81588,27321,108909
2021-10-21,Don’t Tread on Me,81959,29230,111189
2021-10-21,Stroud Boyz,58923,32398,91321
2021-10-21,The Shake’N’Bakerz,75043,17693,92736
2021-10-21,Low Taper Feyd,81349,27321,108670
2021-10-21,Washed up Wilsons,67366,38125,105491
2021-10-21,The Cleveland Josh Allens,68293,42716,111009
2021-10-21,Bye Week,64984,29230,94214
2021-10-21,Turrible. Just turrible.,71696,24113,95809
2021-10-22,Stanford Marshmallows,83530,24255,107785
2021-10-22,All-Pro KTC,81783,27446,109229
2021-10-22,Don’t Tread on Me,82117,29360,111477
2021-10-22,Stroud Boyz,59101,32551,91652
2021-10-22,The Shake’N’Bakerz,74695,17772,92467
2021-10-22,Low Taper Feyd,80280,27446,107726
2021-10-22,Washed up Wilsons,66853,38293,105146
2021-10-22,The Cleveland Josh Allens,68589,42911,111500
2021-10-22,Bye Week,65500,29360,94860
2021-10-22,Turrible. Just turrible.,71588,24206,95794
2021-10-23,Stanford Marshmallows,83742,24259,108001
2021-10-23,All-Pro KTC,79040,32609,111649
2021-10-23,Don’t Tread on Me,82570,29344,111914
2021-10-23,Stroud Boyz,59964,32528,92492
2021-10-23,The Shake’N’Bakerz,74718,17725,92443
2021-10-23,Low Taper Feyd,81021,22277,103298
2021-10-23,Washed up Wilsons,66590,38231,104821
2021-10-23,The Cleveland Josh Allens,68547,42945,111492
2021-10-23,Bye Week,65491,29344,94835
2021-10-23,Turrible. Just turrible.,71991,24178,96169
2021-10-24,Stanford Marshmallows,83241,24171,107412
2021-10-24,All-Pro KTC,78961,32446,111407
2021-10-24,Don’t Tread on Me,82926,29244,112170
2021-10-24,Stroud Boyz,60050,32391,92441
2021-10-24,The Shake’N’Bakerz,73825,17664,91489
2021-10-24,Low Taper Feyd,81031,22190,103221
2021-10-24,Washed up Wilsons,66579,38169,104748
2021-10-24,The Cleveland Josh Allens,68725,42805,111530
2021-10-24,Bye Week,65667,29244,94911
2021-10-24,Turrible. Just turrible.,72151,24116,96267
2021-10-25,Stanford Marshmallows,83534,24197,107731
2021-10-25,All-Pro KTC,79532,32495,112027
2021-10-25,Don’t Tread on Me,82765,29332,112097
2021-10-25,Stroud Boyz,59611,32520,92131
2021-10-25,The Shake’N’Bakerz,73757,17829,91586
2021-10-25,Low Taper Feyd,80659,22275,102934
2021-10-25,Washed up Wilsons,66706,38361,105067
2021-10-25,The Cleveland Josh Allens,68704,42757,111461
2021-10-25,Bye Week,65548,29332,94880
2021-10-25,Turrible. Just turrible.,72137,24222,96359
2021-10-26,Stanford Marshmallows,83736,24109,107845
2021-10-26,All-Pro KTC,79654,32376,112030
2021-10-26,Don’t Tread on Me,84352,24181,108533
2021-10-26,Stroud Boyz,59788,32448,92236
2021-10-26,The Shake’N’Bakerz,73700,17847,91547
2021-10-26,Low Taper Feyd,80188,22246,102434
2021-10-26,Washed up Wilsons,64757,43318,108075
2021-10-26,The Cleveland Josh Allens,68487,42508,110995
2021-10-26,Bye Week,65754,29246,95000
2021-10-26,Turrible. Just turrible.,72267,24181,96448
2021-10-27,Stanford Marshmallows,83402,24099,107501
2021-10-27,All-Pro KTC,79669,32368,112037
2021-10-27,Don’t Tread on Me,84114,24203,108317
2021-10-27,Stroud Boyz,59489,32472,91961
2021-10-27,The Shake’N’Bakerz,74257,17899,92156
2021-10-27,Low Taper Feyd,80444,22266,102710
2021-10-27,Washed up Wilsons,64780,43334,108114
2021-10-27,The Cleveland Josh Allens,68440,42442,110882
2021-10-27,Bye Week,66034,29254,95288
2021-10-27,Turrible. Just turrible.,71951,24203,96154
2021-10-28,Stanford Marshmallows,83409,24176,107585
2021-10-28,All-Pro KTC,78245,32504,110749
2021-10-28,Don’t Tread on Me,84200,24255,108455
2021-10-28,Stroud Boyz,58804,32583,91387
2021-10-28,The Shake’N’Bakerz,74028,17942,91970
2021-10-28,Low Taper Feyd,79385,22334,101719
2021-10-28,Washed up Wilsons,66435,43431,109866
2021-10-28,The Cleveland Josh Allens,68600,42580,111180
2021-10-28,Bye Week,65769,29340,95109
2021-10-28,Turrible. Just turrible.,72828,24255,97083
2021-10-29,Stanford Marshmallows,82958,24225,107183
2021-10-29,All-Pro KTC,79431,32586,112017
2021-10-29,Don’t Tread on Me,84305,24260,108565
2021-10-29,Stroud Boyz,59272,32621,91893
2021-10-29,The Shake’N’Bakerz,73887,17918,91805
2021-10-29,Low Taper Feyd,78619,22354,100973
2021-10-29,Washed up Wilsons,65860,43455,109315
2021-10-29,The Cleveland Josh Allens,69193,42705,111898
